Icon,Title,Description,Exclusive,Type
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_336.png,Slow Growth,"Can barely learn anything new from previous experiences. Growth EXP gained -[20,40,60]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_318.png,Weak Attack,"Launches a weak attack, Attack Speed -[5,10,15]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_341.png,Gauntlets DMG Reduction,"Using a pair of gauntlets produces less threat. Gauntlets DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_344.png,Soft Leather - Weak Pierce,"Not very sturdy against Pierce attacks. The DMG taken from piercing-type attacks increases by [15,20,25]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_335.png,Rapid Absorption (Water),"Drinks a lot water and excrete quickly. Water consumption +[10,30,50]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_320.png,Weakened DEF,"Dropped guard, reducing DEF by [3,6,9]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_329.png,Prone to Thirst,"Small appetite, can only drink a little water. Max Hydration -[20,30,40]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_340.png,Hammer DMG Reduction,"Using hammers produces less threat. Hammer DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_326.png,Slow-witted,"When self-awareness dominates the body, the likelihood of the body taking self-protective reactions to danger is reduced by [10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_327.png,No Load Wanted,"Carries weight without any skill. Max Load -[20,40,60]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_322.png,Poor Health,"Looks weaker than most people, Max HP -[3,6,9]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_350.png,Born with Bad Luck,"The God of Misfortune casts its shadow, reducing the trigger chance of all talents by [10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_357.png,Slow Bandaging,"The forever laughingstock at the Tribe's bandaging competition. Bandage Time +[30,40,50]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_358.png,Devious Heart,"Adepts at spreading rumors and manipulating hearts with a sinister mindset, when betraying the tribe, they may take away [1,2,3] Tribesmen with low Recognition.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_333.png,Stamina Depleted,"A slacker. Stamina Recovery -[20,30,50]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_342.png,Giant Sword DMG Reduction,"Using a giant sword produces less threat. Giant Sword DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_343.png,Dual-blade DMG Reduction,"Using a dual-blade produces less threat. Dual-blade DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_332.png,Thick Blood,"Poor self-healing ability. Natural HP Recovery -[30,50,70]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_351.png,Clumsy Footsteps,"Mastered some poor movement skills of bows. Movement Speed -[30,50,80]% when aiming with bows.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_355.png,Flame Fear,"When the body is ignited, amplifies the Burn effects and the unit deals [20,25,30]% less damage.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_330.png,Short Sight,"Bad vision, view distance -[3,5,10] meters.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_328.png,Prone to Hunger,"Small appetite, can only eat a little food. Max Satiety -[20,30,40]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_349.png,Poor in Remote Attack,"Weak in ranged attack, reducing damage dealt to enemies 20 meters away by [5,10,15]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_325.png,Suspicious Behavior,"Acts in a high-profile manner, Vigilance +[20,40,60]% when spotted by enemies.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_347.png,Clumsy,"Has techniques that are too rough, resulting in a [10,20,30]% increase in Stamina cost for actions that require Stamina.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_345.png,Soft Leather - Weak Slash,"Not very sturdy against slash attacks. The DMG taken from slash-type attacks increases by [15,20,25]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_339.png,Bow DMG Reduction,"Using a bow produces less threat. Bow DMG -[10,15,20]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_321.png,Injury Worsening,"Has a weak body that is more susceptible to injury, DMG taken +[3,6,9]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_324.png,World-shaking,"Able to detect the sounds of approaching objects before they are seen. The volume of all sounds is amplified by [40,70,100]%.",,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_365.png,Origin - Chore Warm-up,"Proficiency growth rate for learning weaving, wood planing, stone cutting, leatherworking, potting, and kilning -[25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_368.png,Origin - Manual Warm-up,"Proficiency growth rate for learning craftsmanship, alchemy, weapon crafting, armor crafting and cooking -[25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_197.png,Origin - Porter,"Proficiency growth rate for learning weaving, potting, wood & stone, leatherworking, and kilning +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_371.png,Origin - Obsessed with Fighting,"Proficiency growth rate for spear, bow, and shield -[25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_194.png,Origin - Laborer,"Proficiency growth rate for logging, mining, planting, and harvesting +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_374.png,Origin - Obsessed with Hunting,"Proficiency growth rate for great sword, shield, and hammer decreases by [25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_200.png,Origin - Craftsman,"Proficiency growth rate for learning craftsmanship, alchemy, weapon crafting, armor crafting and cooking +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_377.png,Origin - Obsessed with Guarding,"Proficiency growth rate for dual-blade, gauntlets, and hammer -[25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_362.png,Origin - Work Warm-up,"Proficiency growth rate for logging, mining, planting, and harvesting -[25,35,50]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_212.png,Origin and Survival,"Proficiency in medicine, swimming, and climbing has increased +[50,60,75]% significantly since I was born.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_206.png,Origin - Hunting,"Proficiency growth rate for bow, spear, blade, dual-blade, and gauntlets +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_380.png,Origem · Pouca Sobrevivência,"Proficient skills, swimming skills, and climbing skills from a young age experienced a -[25,35,50]% slower growth rate.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_203.png,Origin - Fighting,"Proficiency growth rate for blade, dual-blade, hammer, great sword, and gauntlets +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_209.png,Origin - Guard,"Proficiency growth rate for great sword, blade, spear, shield, and bow +[50,60,75]%.",,Origin
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_154.png,Personality: Gentle,Has a gentle nature and is pretty normal in both life and combat. It's unlikely he'll do anything peculiar.,,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_155.png,Personality: Cautious,Has a cautious nature and is pretty proper in both life and combat. It's unlikely this person will do anything peculiar.,,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_158.png,Personality: Lazy,"Lazy with no interest in progress. Feebly sits and waits for work in both life and combat. Simultaneously, is not easily influenced by others.",,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_159.png,Personality: Coward,"When you're all panicky or too scared to stand up for yourself, things can go downhill real quick in both life and combat.",,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_156.png,Personality: Aggressive,"Boasts a radical personality that is contagious; strong and determined in both life and combat, and courageously moves forward without giving up.",,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_157.png,Personality: Manic,Prone to both mania and rage; lives a brash life and fights with reckless abandon; has huge destructive power.,,Personality
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_51.png,Raging Inferno,"Reduces the burn effect caused by flames. When the body is ignited, each attack gains a damage boost equal to the ignition damage taken, stacking up to 10 times.",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_144.png,Tit for Tat,"Endure the pain to retaliate. When attacked, there is a 20% chance of storing and dealing all received damage to enemies for [4,6,8]s. (CD: 30s)",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_119.png,Morale Dampener,"The ferocious attacks instill fear in enemies' hearts. When hitting the target, has a [5,10,15]% chance to reduce their ATK by 3%, DEF by 2% and Movement Speed by 5% for 15s, stacking up to 5 times.",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_112.png,Fatal Rhythm,"Controls the rhythm of the battle, and gains 1 stack of boosts for ATK +[2,3,4]% and Attack Speed +[2,3,4]% when attacking enemies while maintaining over 70% Stamina, lasting for 10 seconds and stacking up to 5 times. (Removes all effects if conditions are not met)",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_101.png,Overwhelming Force,"Each strike carries tremendous force. When damaging a target, an extra 15 Stamina is consumed to increase the damage by [5,10,15]% and drain [5,7.5,10] Stamina from the target.",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_57.png,Getting Braver,"[Claw Exclusive] Attack enemies 5m from self for a 15% chance to gain a stack of Crit +[2,3,4]%, Crit Resist +[2,3,4]%, Crit DMG +[2,3,4]%, Movement Speed +[2,3,4]% for 30 seconds, stacking up to 5 times.",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_51.png,Raging Inferno,"Reduces the burn effect caused by flames. When the body is ignited, each attack gains a damage boost equal to [1.5,2]x the ignition damage taken, stacking up to 10 times.",Claw,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_138.png,Accelerate Armor Crafting,"Skilled in armor forging, the time required for armor crafting quests is reduced by [10,20,30]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_141.png,Accelerate Alchemy,"Talented in alchemy, the time required for alchemy quests is reduced by [10,20,30]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_142.png,Accelerate Cooking,"Experienced in cooking, the time required to complete cooking is reduced by [10,20,30]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_137.png,Accelerate Weapon Crafting,"Experienced in weapon crafting, the time required to complete weapon crafting quests is reduced by [10,20,30]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_128.png,Refined Tool,"Crafting tools with inventive skills. Probability of producing high-quality tools +[5,7.5,10]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_136.png,Crafting Speed Up,"Skilled in processing, the time required for completing crafting quests is reduced by [10,20,30]%.",Craftman,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_91.png,Planting Pro,"Tends crops meticulously and with extra care. Output of planted and harvested plants +[10,15,20]%.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_96.png,Tear Wound,"Ruptures the wound. Damage dealt to bleeding targets +[5,10,15]%.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_90.png,Vein Protection,"Mine minerals without damaging the veins. Mine Regen Time -[20,30,40]%.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_116.png,Poisoned Body,"Full of lethal poison, each attack has a [5,10,15]% chance of inflicting a stack of 10-sec Poison effect (DMG Over Time, Stamina Loss, Weak Spirit), stacking up to 5 times.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_146.png,Pouring Rage,"Accumulate rage and deal a fatal blow. When attacked, there is a 20% chance of storing the received damage for [4,6,8]s, then dealing all stored damage to enemies in 8s. (CD: 30s)",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_89.png,Logging Pro,"Cuts down trees without damaging their roots, greatly reducing the time required for the felled trees to regrow by [20,30,40]%.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_151.png,Blood Staunching,"The blood clots unnaturally fast. When hit, there's a [5,10,15]% chance to instantly remove any Bleed effect and become immune to Bleed for 12 seconds. (CD: 30s)",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_87.png,Calm and Peaceful,"Fight with grace and elegance. Gain a stat boost after receiving no damage for 12 seconds, ATK +[1,1.5,2]%, Attack Speed +2%, Crit +[2,2,3]%, Crit DMG +[2,3,4]% at the cost of taking slightly higher damage, stacking up to 5 times; taking damage removes 1 stack each time.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_149.png,Desperate Response,"When near death, a strong will to survive flares up, capping HP loss at [5,4,3]% per hit once below 30% of max HP. (Will not trigger if damage taken is greater than Max HP)",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_147.png,Strikeback,"Strike upon discerning the enemy's maneuver. Dodging 2 enemy attacks (the interval of each attack is less than 6s) in succession grants you the ability to ignore the enemy's defense for [3,5,7]s.",Fang,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_126.png,Refined Armor,"Skilled in crafting. Probability of forging high-quality armor +[5,7.5,10]%.",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_148.png,Stimulate Morale,"Pain awakens self-hatred and activates potential. When attacked, has a [10,15,20]% chance to enter the heart flow, triggering all talents of self that requires triggering within [5,7.5,10]s. (CD: 25s)",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_86.png,Tactical Dodge,"Successfully dodging an enemy attack reset the talent cooldown (CD: [60,45,30]s).",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_105.png,Insight DEF,"Detects enemy's defensive deficiencies. Ignores the enemy's DEF within [3,5,7] seconds after reflecting the enemy's attack. (CD: 30s)",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_63.png,Firm Will,"Firm and unshakable. Has a [15,20,25]% chance to become immune to Hitstun effects. (CD: 5s)",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_103.png,Endurance Burst,"Stop tolerating when you cannot. After successfully defending against enemy attacks, if Stamina is above 60%, recovers Resilience by [10,20,30] and gains a stack of 10% increase in DEF. When reaching more than 5 stacks, enters the burst status that deals [50,75,100]% more damage for 6 seconds.",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_114.png,Avoid Vitals,"The greater the distance, the less dangerous the threat. When hit by a ranged attack from 10 meters away, there's a 20% chance to reduce the damage taken by [30,50,80]%.",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_127.png,Weapon Enhancement,"Artisanal forging. Probability of producing high-quality weapons +[5,7.5,10]%.",Flint,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_143.png,Rock-like Resolve,"After fending off an enemy attack, increases own Coma, Paralysis, and Bleed resistance by [30,50,80]% for 12 seconds. (CD: 30s)",Guard,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_46.png,Rapid Fire,"An extremely challenging shot technique for archers to master. Full-charge time of bows -[15,35,55]%.",Hunter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_48.png,Bone-gnawing Wound,"Not all wounds show immediately. Ranged hits have a [5,10,15]% chance to inflict a 5-second hidden wound that sends the target into a coma if they move too quickly.",Hunter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_45.png,Marksman Footstep,"Mastered the special movement skills of bows. Movement Speed +[10,15,20]% for 5 seconds when drawing a bow, with a [5,10,15]% chance to remove most Slow effects when triggered. (CD: 8s)",Hunter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_40.png,Multiple Shooting,Mastered the exclusive multi-shooting skill of bows. Shoots more arrows at the same time every time using this kind of skill.,Hunter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_133.png,Accelerate Weaving,"Skilled in weaving, the time required for weaving work is reduced by [10,20,30]%.",Porter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_134.png,Accelerate potting,"Skilled in potting techniques, the time required to complete potting is reduced by [10,20,30]%.",Porter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_132.png,Accelerate leatherworking,"Expert in leatherworking. Time required for leatherworking -[10,20,30]%.",Porter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_131.png,Accelerate Kiln,"Enthusiasm is unaffected by high-temperatures. Time required for kiln work -[10,20,30]%.",Porter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_129.png,Accelerate Wood & Stone,"Dexterous, the time required to complete wood & stone work is reduced by [10,20,30]%.",Porter,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_124.png,Onslaught,"Unleash a ferocious offense to suppress the enemy. Depleting a target's Resilience will also remove their Superarmor. Attack Speed +10% for 12 seconds and gains Stamina if damage per hit > 5% of target's Max HP. (CD: [60,45,30]s)",Warrior,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_73.png,Head Destruction,"Skull expert. Attacking the enemy's head has a 20% chance of gaining [10,15,25]% bonus damage.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_13.png,Nimble Movement,I'm always a step ahead of death. Movement Speed +5%.,,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_113.png,Go for the Jugular,"Keen as an eagle's sight. When attacking an enemy 15 meters away, the damage to weak spots +[15,20,25]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_34.png,Giant Sword DMG Increase,"Using a giant sword deals more damage. Giant sword DMG +[3,6,9]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_21.png,Anti-Thirst,"Has a strong body that is more resistant to thirst and able to store more water. Max Hydration +[20,30,40]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_39.png,Pain Reversal,"Turn pain into power. Taking damage has a [5,10,15]% chance to reset the talent cooldown (CD: 20s).",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_150.png,Crisis Resolution,"No one can survive on this land without a trump card. When hit, there's a 15% chance that the damage taken will be capped at [5,4,3]% of max HP. (Will not trigger if damage taken is greater than Max HP)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_104.png,Skill Recovery,"Times the tempo of recovery. Recovers HP equal to [15,25,35]% of the damage dealt after successfully reflecting the enemy's attack.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_42.png,Good at Melee Combat,"Enthusiastic about close-quarters combat. DMG to enemies within 5 meters +[3,6,9]%",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_117.png,Mind-Heart Unison,"Launch fierce attacks; when hitting the target, has a [10,15,20]% chance to enter the heart flow, triggering all talents of self that requires triggering within [5,7.5,10]s. (Cooldown: 25s)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_74.png,Tail Destruction,"Familiar with tail structure. When attacking the tail of the target, has a 20% chance to increase DMG by [10,15,25]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_22.png,Long Sight,"Exceptional vision, view distance +[3,5,10] meters.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_122.png,Drunken Senses,"Drunk in appearance, sober in spirit. Dodge [1,2,3] attacks within 15 seconds after drinking. Drinkers dodge more attacks (CD: 30 seconds).",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_12.png,Resourceful,"When self-awareness dominates the body, the likelihood of the body reacting to danger +[10,20,35]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_71.png,Limb Destruction,"Limb expert. Attacking the enemy's limbs has a 20% chance of gaining [10,15,25]% bonus damage.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_125.png,Backpack Expansion,"A hidden compartment in the backpack increases storage space. Has [10,20,30] more inventory slots compared to the average backpack.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_55.png,Acceleration at Stress,"Gets out of danger in a flash. When attacked, has a 20% chance to increase own Movement Speed by [15,20,30]% for 6 seconds. (CD: 20s)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_118.png,PEN DEF,"When hitting the target, there's a [5,10,15]% chance to ignore the target's DEF. (Cooldown: 2s)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_121.png,Malice,"Generates malice towards enemies carries debuffs; when attacking targets within 5m under Poison, Burn and Bleed, has a 15% chance to gain a stack of effect that boost self Crit by [1,2,3]% and Crit DMG by [2,3,4]%, lasts for 10s, can be stacked up to 5 times.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_26.png,Slow Absorption (Food),"The food is digested slower, Satiety Consumption -[10,30,50]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_47.png,Quick Reload,"A born genius, natural with all sorts of gadgets. Crossbow Tower, Ballista Reload Speed +[20,35,50]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_8.png,Full Vitality,"A rosy, glowing complexion indicates good health, Max HP +[3,6,9]%.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_81.png,Endurance,"After fending off an enemy attack, DEF +[30,50,80]% for 12 seconds and gains immunity to critical hits during this time. (CD: 30s)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_17.png,Critical Counter,Gains a 5% damage boost for 6 seconds after blocking an enemy attack. (CD: 15s),,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_85.png,Extreme Dodge,"Instantly recovers [15,25,35] Stamina after dodging enemy attacks.",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_15.png,Crisis Response,"When attacked, has a 20% chance to increase DEF and Max HP by 5% each for 30 seconds. (CD: 50s)",,Positive Gifts
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_59.png,Crave for Blood,"With the desire for blood, when attacking targets within 5 meters, has a 25% chance to convert [10,20,30]% of damage into HP restoration to self.",,Positive Gifts
