Icon,Título,Descrição,Exclusivo,Tipo
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_353.png,Recarga lenta,"É muito difícil de aprender. Torre da Besta e Tempo de Recarga da Balista +[20,35,50]%",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_337.png,Redução de dano de lâmina única,"Usar uma lâmina de uma mão gera menos ameaça. Dano de lâmina única -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_338.png,Redução de dano de lança,"Usar uma lança gera menos ameaça. Dano da lança -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_336.png,Crescimento lento,"Quase não se aprende nada de novo com as experiências anteriores. EXP de crescimento ganho -[20,40,60]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_318.png,Ataque Fraco,"Lança um ataque fraco, Velocidade de Ataque -[5,10,15]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_341.png,Redução de Dano das Manoplas,"Usar um par de manoplas gera menos ameaça. Dano das manoplas: -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_344.png,Couro macio - Perfuração frágil,"Não é muito resistente a ataques perfurantes. O dano recebido de ataques do tipo perfurante aumenta em [15,20,25]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_335.png,Absorção rápida (água),"Bebe muita água e excreta rapidamente. Consumo de água +[10,30,50]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_320.png,DEF enfraquecida,"Guarda baixada, reduzindo a DEF em [3,6,9]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_329.png,Propenso à sede,"Pouco apetite, só consegue beber um pouco de água. Hidratação máxima -[20,30,40]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_340.png,Redução de dano do martelo,"Usar martelos gera menos ameaça. Dano do martelo -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_326.png,Lento de raciocínio,"Quando a autoconsciência domina o corpo, a probabilidade de o corpo apresentar reações de autoproteção ao perigo é reduzida em [10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_327.png,Nenhuma carga desejada,"Transporta peso sem qualquer habilidade. Carga máxima -[20,40,60]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_322.png,Saúde precária,"Parece mais fraco do que a maioria das pessoas, HP máximo -[3,6,9]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_350.png,Nascido com má sorte,"O Deus do Infortúnio lança sua sombra, reduzindo a chance de ativação de todos os talentos em [10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_357.png,Enfaixamento lento,"O eterno motivo de chacota na competição de curativos da Tribo. Hora do Curativo +[30,40,50]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_358.png,Coração Perverso,"Adeptos em espalhar rumores e manipular corações com uma mentalidade sinistra, quando traem a tribo, podem levar [1,2,3] membros da tribo com baixo reconhecimento.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_333.png,Resistência esgotada,"Um preguiçoso. Recuperação de resistência -[20,30,50]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_342.png,Redução de dano da espada gigante,"Usar uma espada gigante gera menos ameaça. Dano da Espada Gigante -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_343.png,Redução de dano de lâmina dupla,"Usar uma espada dupla gera menos ameaça. Dano da espada dupla: -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_332.png,Sangue espesso,"Baixa capacidade de autocura. Recuperação natural de HP -[30,50,70]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_351.png,Passos Desajeitados,"Dominei algumas habilidades de movimento ruins com arcos. Velocidade de movimento -[30,50,80]% ao mirar com arcos.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_355.png,Medo de Chamas,"Quando o corpo é incendiado, amplifica os efeitos de Queimadura e a unidade causa [20,25,30]% menos dano.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_330.png,Visão curta,"Visão ruim, distância de visão -[3,5,10] metros.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_328.png,Propenso à fome,"Pouco apetite, só consegue comer um pouco de comida. Saciedade máxima -[20,30,40]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_349.png,Deficiente em ataques remotos,"Fraco em ataques à distância, reduzindo o dano causado a inimigos a 20 metros de distância em [5,10,15]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_325.png,Comportamento suspeito,"Age de forma ostensiva, Vigilância +[20,40,60]% quando avistado por inimigos.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_347.png,Desajeitado,"Possui técnicas muito brutais, resultando em um aumento de [10,20,30]% no custo de Vigor para ações que exigem Vigor.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_345.png,Couro macio - Corte fraco,"Não é muito resistente a ataques cortantes. O dano recebido de ataques do tipo cortante aumenta em [15,20,25]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_339.png,Redução de dano do arco,"Usar um arco gera menos ameaça. Dano do arco -[10,15,20]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_321.png,Lesão agravada,"Possui um corpo frágil que é mais suscetível a lesões, dano recebido +[3,6,9]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_324.png,Que abala o mundo,"Capaz de detectar os sons de objetos que se aproximam antes de serem vistos. O volume de todos os sons é amplificado em [40,70,100]%.",Nenhum,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_365.png,Origem - Aquecimento para Tarefas Domésticas,"Taxa de crescimento da proficiência na aprendizagem de tecelagem, aplainamento de madeira, corte de pedra, trabalho em couro, cerâmica e queima em forno -[25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_368.png,Origem - Aquecimento manual,"Taxa de crescimento de proficiência para aprender artesanato, alquimia, fabricação de armas, fabricação de armaduras e culinária -[25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_197.png,Origem - Porter,"Taxa de crescimento da proficiência na aprendizagem de tecelagem, cerâmica, madeira e pedra, trabalho em couro e queima de forno +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_371.png,Origem - Obsessão por Lutas,"Taxa de crescimento de proficiência para lança, arco e escudo -[25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_194.png,Origem - Trabalhador braçal,"Taxa de crescimento da proficiência em exploração florestal, mineração, plantio e colheita +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_374.png,Origem - Obsessão pela caça,"A taxa de crescimento da proficiência para espada grande, escudo e martelo diminui em [25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_200.png,Origem - Artesão,"Taxa de crescimento de proficiência para aprender artesanato, alquimia, fabricação de armas, fabricação de armaduras e culinária +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_377.png,Origem - Obsessão por Guardar,"Taxa de crescimento de proficiência para lâmina dupla, manoplas e martelo -[25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_362.png,Origem - Aquecimento para o Trabalho,"Taxa de crescimento da proficiência em exploração florestal, mineração, plantio e colheita -[25,35,50]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_212.png,Origem e Sobrevivência,"Minha proficiência em medicina, natação e escalada aumentou significativamente em +[50,60,75]% desde que nasci.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_206.png,Origem - Caça,"Taxa de crescimento de proficiência para arco, lança, espada, espada dupla e manoplas +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_380.png,Origem · Pouca Sobrevivência,"Habilidades proficientes, habilidades de natação e habilidades de escalada desde tenra idade apresentaram uma taxa de crescimento -[25,35,50]% mais lenta.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_203.png,Origem - Luta,"Taxa de crescimento de proficiência para lâmina, lâmina dupla, martelo, espada grande e manoplas +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_209.png,Origem - Guarda,"Taxa de crescimento de proficiência para espada grande, lâmina, lança, escudo e arco +[50,60,75]%.",Nenhum,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_154.png,Personalidade: Gentil,Tem uma natureza gentil e é bastante normal tanto na vida quanto em combate. É improvável que ele faça algo peculiar.,Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_155.png,Personalidade: Cautelosa,Possui uma natureza cautelosa e é bastante correto tanto na vida quanto em combate. É improvável que essa pessoa faça algo peculiar.,Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_158.png,Personalidade: Preguiçoso,"Preguiçoso e sem interesse em progredir. Senta-se passivamente à espera de trabalho, tanto na vida quanto no combate. Ao mesmo tempo, não se deixa influenciar facilmente pelos outros.",Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_159.png,Personalidade: Covarde,"Quando você está em pânico ou com muito medo de se defender, as coisas podem piorar muito rapidamente, tanto na vida quanto em combate.",Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_156.png,Personalidade: Agressiva,"Possui uma personalidade radical e contagiante; forte e determinado tanto na vida quanto no combate, avança corajosamente sem desistir.",Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_157.png,Personalidade: Maníaca,Propenso tanto à mania quanto à fúria; leva uma vida imprudente e luta com imprudência; possui enorme poder destrutivo.,Nenhum,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_51.png,Inferno furioso,"Reduz o efeito de queimadura causado pelas chamas. Quando o corpo está em chamas, cada ataque recebe um bônus de dano igual ao dano de ignição sofrido, acumulando até 10 vezes.",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_144.png,Olho por olho,"Suporte a dor para retaliar. Ao ser atacado, há 20% de chance de armazenar e causar todo o dano recebido aos inimigos por [4,6,8]s. (Recarga: 30s)",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_119.png,Desmoralizador,"Os ataques ferozes instilam medo nos corações dos inimigos. Ao atingir o alvo, há uma chance de [5,10,15]% de reduzir o ATQ em 3%, a DEF em 2% e a Velocidade de Movimento em 5% por 15 segundos, acumulando até 5 vezes.",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_112.png,Ritmo Fatal,"Controla o ritmo da batalha e concede 1 acúmulo de bônus de ATQ +[2,3,4]% e Velocidade de Ataque +[2,3,4]% ao atacar inimigos enquanto mantém mais de 70% de Vigor, com duração de 10 segundos e acumulando até 5 vezes. (Remove todos os efeitos se as condições não forem atendidas)",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_101.png,Força Avassaladora,"Cada golpe possui uma força tremenda. Ao causar dano a um alvo, 15 de Vigor adicionais são consumidos para aumentar o dano em [5,10,15]% e drenar [5,7.5,10] de Vigor do alvo.",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_57.png,Tornando-se mais corajoso,"[Exclusivo da Garra] Ataque inimigos a 5m de distância para ter 15% de chance de ganhar um acúmulo de Crítico +[2,3,4]%, Resistência a Crítico +[2,3,4]%, Dano Crítico +[2,3,4]%, Velocidade de Movimento +[2,3,4]% por 30 segundos, acumulando até 5 vezes.",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_51.png,Inferno furioso,"Reduz o efeito de queimadura causado pelas chamas. Quando o corpo é incendiado, cada ataque recebe um aumento de dano igual a [1,5,2]x o dano de ignição sofrido, acumulando até 10 vezes.",Garra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_138.png,Acelerar a fabricação de armaduras,"Com habilidade em forjar armaduras, o tempo necessário para missões de criação de armaduras é reduzido em [10,20,30]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_141.png,Acelerar Alquimia,"Com talento em alquimia, o tempo necessário para missões de alquimia é reduzido em [10,20,30]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_142.png,Acelere o cozimento,"Com experiência em culinária, o tempo necessário para concluir o cozimento é reduzido em [10,20,30]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_137.png,Acelerar a fabricação de armas,"Com experiência em fabricação de armas, o tempo necessário para concluir missões de fabricação de armas é reduzido em [10,20,30]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_128.png,Ferramenta refinada,"Fabricação de ferramentas com habilidades inventivas. Probabilidade de produzir ferramentas de alta qualidade +[5,7,5,10]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_136.png,Aumento da velocidade de fabricação,"Com habilidade em processamento, o tempo necessário para concluir missões de criação é reduzido em [10,20,30]%.",Artesão,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_91.png,Plantio Profissional,"Cultiva as plantações meticulosamente e com extremo cuidado. Rendimento de plantas plantadas e colhidas +[10,15,20]%.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_96.png,Ferida de laceração,"Rompe a ferida. Dano causado a alvos sangrando +[5,10,15]%.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_90.png,Proteção das Veias,"Extraia minerais sem danificar os veios. Tempo de regeneração da mina: -[20,30,40]%.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_116.png,Corpo envenenado,"Cheio de veneno letal, cada ataque tem [5,10,15]% de chance de infligir um acúmulo de efeito de Veneno de 10 segundos (Dano ao Longo do Tempo, Perda de Vigor, Espírito Fraco), acumulando até 5 vezes.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_146.png,Derramando Fúria,"Acumule fúria e desferir um golpe fatal. Ao ser atacado, há 20% de chance de armazenar o dano recebido por [4, 6, 8] segundos e, em seguida, causar todo o dano armazenado aos inimigos em 8 segundos. (Recarga: 30 segundos)",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_89.png,Registro profissional,"Corta árvores sem danificar suas raízes, reduzindo significativamente o tempo necessário para que as árvores abatidas se regenerem em [20,30,40]%.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_151.png,Estancamento de Sangue,"O sangue coagula de forma anormalmente rápida. Ao ser atingido, há uma chance de [5,10,15]% de remover instantaneamente qualquer efeito de Sangramento e se tornar imune a Sangramento por 12 segundos. (Recarga: 30s)",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_87.png,Calmo e tranquilo,"Lute com graça e elegância. Receba um aumento de atributos após não sofrer dano por 12 segundos: ATQ +[1,1,5,2]%, Velocidade de Ataque +2%, Crítico +[2,2,3]%, Dano Crítico +[2,3,4]%, ao custo de sofrer um pouco mais de dano. O efeito acumula até 5 vezes; sofrer dano remove 1 acúmulo a cada vez.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_149.png,Resposta Desesperada,"Ao se aproximar da morte, uma forte vontade de sobreviver se manifesta, limitando a perda de HP a [5,4,3]% por golpe quando o HP estiver abaixo de 30% do máximo. (Não será ativado se o dano recebido for maior que o HP máximo)",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_147.png,Contra-ataque,"Ataque ao discernir a manobra do inimigo. Esquivar-se de 2 ataques inimigos (o intervalo de cada ataque é menor que 6s) em sucessão concede a você a habilidade de ignorar a defesa do inimigo por [3,5,7]s.",Presa,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_126.png,Armadura Refinada,"Habilidoso em artesanato. Probabilidade de forjar armaduras de alta qualidade +[5,7,5,10]%.",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_148.png,Estimular o moral,"A dor desperta o ódio a si mesmo e ativa o potencial. Quando atacado, tem [10,15,20]% de chance de entrar no fluxo do coração, desencadeando todos os talentos do eu que precisam ser ativados dentro de [5,7,5,10]s. (CD: 25s)",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_86.png,Esquiva Tática,"Esquivar-se com sucesso de um ataque inimigo reinicia o tempo de recarga do talento (CD: [60,45,30]s).",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_105.png,Insight DEF,"Detecta as deficiências defensivas do inimigo. Ignora a DEF do inimigo por [3,5,7] segundos após refletir o ataque inimigo. (Recarga: 30s)",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_63.png,Firma,"Firme e inabalável. Possui [15,20,25]% de chance de se tornar imune a efeitos de atordoamento. (Recarga: 5s)",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_103.png,Explosão de resistência,"Pare de tolerar quando não pode. Após se defender com sucesso de ataques inimigos, se a Vigor estiver acima de 60%, recupera Resiliência em [10,20,30] e ganha um acúmulo de 10% de aumento em DEF. Ao atingir mais de 5 acúmulos, entra no estado de explosão que causa [50,75,100]% mais dano por 6 segundos.",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_114.png,Evite sinais vitais,"Quanto maior a distância, menor o perigo da ameaça. Ao ser atingido por um ataque à distância a 10 metros de distância, há 20% de chance de reduzir o dano recebido em [30,50,80]%.",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_127.png,Aprimoramento de armas,"Forjamento artesanal. Probabilidade de produzir armas de alta qualidade +[5,7,5,10]%.",Pedra,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_143.png,Determinação inabalável,"Após repelir um ataque inimigo, aumenta a própria resistência a Coma, Paralisia e Sangramento em [30,50,80]% por 12 segundos. (Recarga: 30s)",Guarda,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_46.png,Tiro Rápido,"Uma técnica de tiro extremamente desafiadora para os arqueiros dominarem. Tempo de carga total dos arcos -[15,35,55]%.",Caçador,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_48.png,Ferida roedora de ossos,"Nem todos os ferimentos aparecem imediatamente. Golpes à distância têm [5,10,15]% de chance de infligir um ferimento oculto de 5 segundos que deixa o alvo em coma se ele se mover muito rápido.",Caçador,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_45.png,Passos do Atirador,"Dominou as habilidades especiais de movimento com arcos. Velocidade de Movimento +[10,15,20]% por 5 segundos ao puxar um arco, com [5,10,15]% de chance de remover a maioria dos efeitos de Lentidão ao ser ativado. (Recarga: 8s)",Caçador,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_40.png,Tiroteio múltiplo,Dominou a habilidade exclusiva de disparo múltiplo com arco. Dispara mais flechas ao mesmo tempo sempre que utiliza essa habilidade.,Caçador,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_133.png,Acelerar a tecelagem,"Com habilidade em tecelagem, o tempo necessário para o trabalho de tecelagem é reduzido em [10,20,30]%.",Porteiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_134.png,Acelere o envasamento,"Com habilidade em técnicas de plantio, o tempo necessário para concluir o plantio é reduzido em [10,20,30]%.",Porteiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_132.png,Acelere o trabalho em couro,"Especialista em trabalho em couro. Tempo necessário para o trabalho em couro -[10,20,30]%.",Porteiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_131.png,Forno de aceleração,"O entusiasmo não é afetado por altas temperaturas. Tempo necessário para o trabalho no forno -[10,20,30]%.",Porteiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_129.png,Acelere a produção de madeira e pedra.,"Com destreza, o tempo necessário para concluir trabalhos em madeira e pedra é reduzido em [10,20,30]%.",Porteiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_124.png,Ataque,"Desencadeie um ataque feroz para suprimir o inimigo. Reduzir a Resiliência de um alvo também remove sua Superarmadura. Velocidade de Ataque +10% por 12 segundos e ganha Vigor se o dano por acerto for > 5% do HP máximo do alvo. (Recarga: [60,45,30]s)",Guerreiro,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_73.png,Destruição da cabeça,"Especialista em crânios. Atacar a cabeça do inimigo tem 20% de chance de causar [10,15,25]% de dano bônus.",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_13.png,Movimento ágil,Estou sempre um passo à frente da morte. Velocidade de Movimento +5%.,Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_113.png,Vá direto ao ponto.,"Visão tão precisa quanto a de uma águia. Ao atacar um inimigo a 15 metros de distância, o dano aos pontos fracos aumenta em [15, 20, 25]%.",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_34.png,Aumento de dano da espada gigante,"Usar uma espada gigante causa mais dano. Dano da espada gigante +[3,6,9]%.",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_21.png,Anti-sede,"Possui um corpo forte, mais resistente à sede e capaz de armazenar mais água. Hidratação máxima +[20,30,40]%.",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_39.png,Reversão da dor,"Transforme a dor em poder. Receber dano tem uma chance de [5,10,15]% de zerar o tempo de recarga do talento (CD: 20s).",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_150.png,Resolução de Crises,"Ninguém sobrevive nesta terra sem um trunfo na manga. Ao ser atingido, há 15% de chance de o dano recebido ser limitado a [5,4,3]% do HP máximo. (Não será ativado se o dano recebido for maior que o HP máximo)",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_104.png,Recuperação de Habilidades,"Temporiza o ritmo de recuperação. Recupera PV igual a [15,25,35]% do dano causado após refletir com sucesso o ataque do inimigo.",Nenhum,Presentes Positivos
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_42.png,Bom em combate corpo a corpo,"Entusiasta de combate corpo a corpo. Dano a inimigos em um raio de 5 metros +[3,6,9]%",Nenhum,Presentes Positivos
