Icon,Title EN,Title PT,Description EN,Description PT,Exclusive EN,Exclusive PT,Type EN,Type PT
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_327.png,No Load Wanted,Inaptição para Carga,"Carries weight without any skill. Max Load -[20,40,60]%.","Carrega peso sem a menor habilidade, reduzindo a Carga Máxima em -[20,40,60]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_328.png,Prone to Hunger,Propensão à Fome,"Small appetite, can only eat a little food. Max Satiety -[20,30,40]%.","Pouco apetite, só pode comer um pouco de alimentos. Saciedade Máxima é reduzida em -[20,30,40]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_329.png,Prone to Thirst,Propensão à Sede,"Small appetite, can only drink a little water. Max Hydration -[20,30,40]%.","Pouco apetite, só pode beber um pouco de água. Hidratação Máxima é reduzida em -[20,30,40]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_330.png,Short Sight,Visão Curta,"Bad vision, view distance -[3,5,10] meters.","Visão ruim, a distância de visão é encurtada em -[3,5,10] metros.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_332.png,Thick Blood,Sangue Grosso,"Poor self-healing ability. Natural HP Recovery -[30,50,70]%.","Pobre capacidade de autocura. A recuperação natural de PV é reduzida em -[30,50,70]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_333.png,Stamina Depleted,Vigor Esgotado,"A slacker. Stamina Recovery -[20,30,50]%.","Preguiçoso. A recuperação de Vigor é reduzida em -[20,30,50]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_335.png,Rapid Absorption (Water),Absorção Rápida (Água),"Drinks a lot water and excrete quickly. Water consumption +[10,30,50]%.","Bebe muito e digere rapidamente, aumentando o consumo de hidratação em +[10,30,50]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_336.png,Slow Growth,Crescimento Lento,"Can barely learn anything new from previous experiences. Growth EXP gained -[20,40,60]%.","Mal consegue aprender com experiências anteriores, reduzindo a quantidade de EXP de Crescimento ganha em -[20,40,60]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_337.png,Single Blade DMG Reduction,Redução de Dano da Lâmina de Uma Mão,"Using a single-handed blade produces less threat. Single-blade DMG -[10,15,20]%.","Usar uma lâmina de uma mão é menos ameaçador. O dano causado pela lâmina diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_338.png,Spear DMG Reduction,Redução de Dano da Lança,"Using a spear produces less threat. Spear DMG -[10,15,20]%.","Usar uma lança é menos ameaçador. O dano causado pela lança diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_339.png,Bow DMG Reduction,Redução de Dano do Arco,"Using a bow produces less threat. Bow DMG -[10,15,20]%.","Usar um arco é menos ameaçador. O dano causado pelo arco diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_340.png,Hammer DMG Reduction,Redução de Dano do Martelo,"Using hammers produces less threat. Hammer DMG -[10,15,20]%.","Usar um martelo é menos ameaçador. O dano causado pelo martelo diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_341.png,Gauntlets DMG Reduction,Redução de Dano das Manoplas,"Using a pair of gauntlets produces less threat. Gauntlets DMG -[10,15,20]%.","Usar um par de manoplas é menos ameaçador. O dano causado pelas manoplas diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_342.png,Giant Sword DMG Reduction,Redução de Dano da Espada Gigante,"Using a giant sword produces less threat. Giant Sword DMG -[10,15,20]%.","Usar uma espada gigante é menos ameaçador. O dano causado pela espada gigante diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_343.png,Dual-blade DMG Reduction,Redução de Dano da Lâmina de Duas Mãos,"Using a dual-blade produces less threat. Dual-blade DMG -[10,15,20]%.","Usar uma lâmina de duas mãos é menos ameaçador. O dano causado pela lâmina de duas mãos diminui em -[10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_344.png,Soft Leather - Weak Pierce,Pele Amolecida - Vulnerabilidade à Perfuração,"Not very sturdy against Pierce attacks. The DMG taken from piercing-type attacks increases by [15,20,25]%.","Não é muito resistente contra ataques perfurantes. O dano sofrido de ataques do tipo perfurante aumenta em [15,20,25]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_345.png,Soft Leather - Weak Slash,Pele Amolecida - Vulnerabilidade à Corte,"Not very sturdy against slash attacks. The DMG taken from slash-type attacks increases by [15,20,25]%.","Não é muito resistente contra ataques cortantes. O dano sofrido de ataques do tipo cortante aumenta em [15,20,25]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_347.png,Clumsy,Desajeitado,"Has techniques that are too rough, resulting in a [10,20,30]% increase in Stamina cost for actions that require Stamina.","Tem técnicas muito rudimentares, resultando em um aumento de [10,20,30]% no custo de Vigor para ações que requerem Vigor.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_349.png,Poor in Remote Attack,Inaptidão em Ataque à Distância,"Weak in ranged attack, reducing damage dealt to enemies 20 meters away by [5,10,15]%.","Fraco em ataque à distância, reduzindo o dano causado a inimigos a mais de 20 metros de distância em [5,10,15]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_350.png,Born with Bad Luck,Azarado de Nascimento,"The God of Misfortune casts its shadow, reducing the trigger chance of all talents by [10,15,20]%.","O Deus do Infortúnio lança sua sombra, reduzindo a chance de ativação de todos os talentos em [10,15,20]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_351.png,Clumsy Footsteps,Passos Desajeitados,"Mastered some poor movement skills of bows. Movement Speed -[30,50,80]% when aiming with bows.","Dominou algumas habilidades ruins de movimentação com arcos. A Velocidade de Movimento é reduzida em -[30,50,80]% ao mirar com arcos.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_353.png,Slow Reload,Recarga Lenta,"It's just so hard to learn. Crossbow Tower, and Ballista Reload Time +[20,35,50]%","Não adianta, não consegue aprender. Ao usar a Torre de Flechas ou a Balista de Cerco, a o tempo de recarga é aumentado em +[20,35,50]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_355.png,Flame Fear,Temor às Chamas,"When the body is ignited, amplifies the Burn effects and the unit deals [20,25,30]% less damage.","Quando o corpo está em chamas, o efeito das queimaduras se intensifica e o dano causado por si mesmo é reduzido em [20,25,30]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_357.png,Slow Bandaging,Bandagem Lenta,"The forever laughingstock at the Tribe's bandaging competition. Bandage Time +[30,40,50]%.","Sempre motivo de risos nas competições de bandagem da tribo. O tempo de bandagem é aumentado em +[30,40,50]%.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_358.png,Devious Heart,Má Intenção,"Adepts at spreading rumors and manipulating hearts with a sinister mindset, when betraying the tribe, they may take away [1,2,3] Tribesmen with low Recognition.","Habilidoso em manipular e espalhar boatos, ao trair a tribo pode levar consigo [1,2,3] membros da tribo de baixo reconhecimento.",,Nenhum,Normal,Normal
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_197.png,Origin - Porter,Origem - Faz-tudo,"Proficiency growth rate for learning weaving, potting, wood & stone, leatherworking, and kilning +[50,60,75]%.","Muitas das habilidades e sabedoria da tribo são passadas de artesão para artesão. Com essa tradição, a taxa de crescimento da proficiência em tecelagem, trabalho com madeira e pedra, curtume, cerâmica e forno aumenta em +[50,60,75]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_365.png,Origin - Chore Warm-up,Origem - Ineficiência Artesanal,"Proficiency growth rate for learning weaving, wood planing, stone cutting, leatherworking, potting, and kilning -[25,35,50]%.","Vindo de uma família de péssimos artesões, desde jovem, a taxa de crescimento da proficiência em tecelagem, trabalho em madeira e pedra, curtimento, cerâmica e forno é reduzida em -[25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_368.png,Origin - Manual Warm-up,Origem - Ineficiência Manual,"Proficiency growth rate for learning craftsmanship, alchemy, weapon crafting, armor crafting and cooking -[25,35,50]%.","Devido à completa ausência do gene de artífice herdado da família, a taxa de crescimento da proficiência em artesanato, alquimia, fabricação de armas, fabricação de armaduras e culinária diminui em -[25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_194.png,Origin - Laborer,Origem - Trabalhador,"Proficiency growth rate for logging, mining, planting, and harvesting +[50,60,75]%.","Vem de uma família com muitos artesãos habilidosos, mas pouco inclinados ao trabalho árduo. Influenciados pelos familiares, a taxa de crescimento da proficiência em corte de madeira, mineração, plantio e colheita é reduzida em 25%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_200.png,Origin - Craftsman,Origem - Artesão,"Proficiency growth rate for learning craftsmanship, alchemy, weapon crafting, armor crafting and cooking +[50,60,75]%.","Nascido em uma família de artesãos, desde jovem absorveu conhecimentos em artesanato, fabricação de armas e armaduras, alquimia e culinária. A taxa de crescimento da proficiência nessas habilidades aumenta em +[50,60,75]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_203.png,Origin - Fighting,Origem - Luta,"Proficiency growth rate for blade, dual-blade, hammer, great sword, and gauntlets +[50,60,75]%.","Nascido em uma família de guerreiros, foi exposto desde cedo ao aprendizado de habilidades com lâmina, lâmina de duas mãos, martelos, espadas grandes e manoplas. Como resultado, a taxa de crescimento da proficiência nessas armas aumenta em +[50,60,75]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_206.png,Origin - Hunting,Origem - Caça,"Proficiency growth rate for bow, spear, blade, dual-blade, and gauntlets +[50,60,75]%.","Nascido em uma família de caçadores, desde jovem, aprendeu o uso do arco, lança, lâmina, lâmina de duas mãos e manoplas. Como resultado, a taxa de crescimento da proficiência nessas armas aumenta em +[50,60,75]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_209.png,Origin - Guard,Origem - Guarda,"Proficiency growth rate for great sword, blade, spear, shield, and bow +[50,60,75]%.","Já serviu como guarda do templo em várias ocasiões, sendo amplamente reconhecido por sua habilidade marcial excepcional. Como resultado, a taxa de crescimento de proficiência para espadas grandes, lâmina, escudos, lanças e arcos aumenta em +[50,60,75]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_362.png,Origin - Work Warm-up,Origem - Ineficiência em Trabalho Árduo,"Proficiency growth rate for logging, mining, planting, and harvesting -[25,35,50]%.","Vem de uma família com muitos artesãos habilidosos, mas pouco inclinados ao trabalho árduo. Influenciados pelos familiares, a taxa de crescimento da proficiência em corte de madeira, mineração, plantio e colheita é reduzida em -[25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_371.png,Origin - Obsessed with Fighting,Origem - Obsessão por Luta,"Proficiency growth rate for spear, bow, and shield -[25,35,50]%.","Atento aos detalhes. A taxa de crescimento da proficiência em tecelagem, cerâmica e curtume aumenta em -[25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_374.png,Origin - Obsessed with Hunting,Origem - Obsessão por Caça,"Proficiency growth rate for great sword, shield, and hammer decreases by [25,35,50]%.","Na juventude, exibiu um certo talento para caça, resultando em um crescimento exagerado nessa área, mas negligenciando o desenvolvimento de outras habilidades. A taxa de crescimento da proficiência em espadas grandes, escudos e martelos é reduzida em [25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_377.png,Origin - Obsessed with Guarding,Origem - Obsessão pela Guarda,"Proficiency growth rate for dual-blade, gauntlets, and hammer -[25,35,50]%.","Foi duramente criticado pelos membros da tribo por sua falta de habilidades defensivas. Por isso, concentrou-se excessivamente no aprimoramento da habilidade defensiva, negligenciando as habilidades com lâmina de duas mãos, manoplas e martelos. A taxa de crescimento da proficiência nessas habilidades é reduzida em -[25,35,50]%.",,Nenhum,Origin,Origem
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_154.png,Personality: Gentle,Personalidade: Gentil,Has a gentle nature and is pretty normal in both life and combat. It's unlikely he'll do anything peculiar.,Tem uma natureza gentil e é bastante normal na vida e no combate. É improvável que faça algo notável.,,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_155.png,Personality: Cautious,Personalidade: Cauteloso,Has a cautious nature and is pretty proper in both life and combat. It's unlikely this person will do anything peculiar.,Tem uma natureza cautelosa e é bastante comedido na vida e no combate. É improvável que esta pessoa faça algo notável.,,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_156.png,Personality: Aggressive,Personalidade: Agressivo,"Boasts a radical personality that is contagious; strong and determined in both life and combat, and courageously moves forward without giving up.","Sua personalidade radical é contagiosa. É forte e determinado na vida e no combate, avançando corajosamente sem desistir.",,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_157.png,Personality: Manic,Personalidade: Maníaco,Prone to both mania and rage; lives a brash life and fights with reckless abandon; has huge destructive power.,É propenso à mania e à raiva. Vive uma vida impetuosa e luta com abandono imprudente. Tem um grande poder destrutivo.,,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_158.png,Personality: Lazy,Personalidade: Preguiçoso,"Lazy with no interest in progress. Feebly sits and waits for work in both life and combat. Simultaneously, is not easily influenced by others.","Preguiçoso e sem interesse em progredir. Fica sentado esperando o trabalho chegar tanto na vida quanto em combate. Ao mesmo tempo, não é facilmente influenciado por outros.",,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_159.png,Personality: Coward,Personalidade: Covarde,"When you're all panicky or too scared to stand up for yourself, things can go downhill real quick in both life and combat.","Quando está em pânico ou com muito medo de se defender, as coisas podem piorar rapidamente na vida e no combate.",,Nenhum,Personality,Personalidade
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_244.png,Likes staple food,Gosta de alimentos básicos,"Feels content and gains [20,40] Mood when consuming food that provides satiety. For the next 15 minutes, the rate of mood decline decreases by [30,50]% and mood-improvement effects increase by [75,100]%.","Sente-se satisfeito e ganha 40 de Humor ao consumir alimentos que proporcionam saciedade. Pelos próximos 15 minutos, a taxa de queda do humor diminui em [20,40] e os efeitos de melhoria do humor aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_247.png,Love meat,Uma predileção por carne,"A meat enthusiast who is satisfied when consuming meat and gains 60 Mood. For the next 15 minutes, the rate of mood decline decreases by 70%, and mood-improvement effects increase by 125%. (During this time, it can lead to a state of elation.)","Entusiasta da carne, fica satisfeito ao consumir carne e ganha 60 de Humor. Pelos próximos 15 minutos, a taxa de queda do humor diminui em 70% e os efeitos de melhoria do humor aumentam em 125%. (Durante este período, é possível alcançar um estado de euforia.)",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_262.png,Likes snow,Gosta de Neve,"Loves winter in particular and gains [20,40] Mood when it snows. For the next 15 minutes, the rate of mood decline decreases by [30,50]%, and mood-improvement effects increase by [75,100]%.","Tem uma afinidade com dias nevados e recebe 40 pontos de Humor quando neva. Além disso, durante 15 minutos, a taxa de queda de Humor diminui em [20,40] e os pontos de Humor adquiridos aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_267.png,Love baths,Uma predileção por banhos,"Likes baths and gains 60 Mood when having a bath. For the next 15 minutes, the rate of mood decline decreases by 70%, and mood-improvement effects increase by 125%. (During this time, it can lead to a state of elation.)","Gosta de banhos e sente um aumento de 60 de Humor ao tomar banho. Pelos próximos 15 minutos, a taxa de queda do humor diminui em 70% e os efeitos de melhoria do humor aumentam em 125%. (Durante este período, é possível alcançar um estado de euforia.)",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_268.png,Likes leather gear,Gosta de equipamentos de couro,"Likes the texture of leather and gains [20,40] Mood when equipped with leather gear. For the next 15 minutes, the rate of mood decline decreases by [30,50]%, and mood-improvement effects increase by [75,100]%.","Gosta da textura do couro e ganha 40 de Humor ao usar equipamentos de couro. Pelos próximos 15 minutos, a taxa de queda do humor diminui em [20,40] e os efeitos de melhoria do humor aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_274.png,Likes stone weapons,Gosta de armas de pedra,"Likes stone weapons and gains [20,40] Mood when equipped with stone weapons. For the next 15 minutes, the rate of mood decline decreases by [30,50]%, and mood-improvement effects increase by [75,100]%.","Gosta de armas de pedra e ganha 40 de Humor ao usar armas de pedra. Pelos próximos 15 minutos, a taxa de queda do humor diminui em [20,40] e os efeitos de melhoria do humor aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_289.png,Love to be by water,Uma predileção por estar perto da água,"With a unique reliance on water bodies, gains 60 Mood when living near a water body. For the next 15 minutes, the rate of mood decline decreases by 70%, and mood-improvement effects increase by 125%. (During this time, it can lead to a state of elation.)","Com uma dependência única de corpos d'água, ganha 60 de Humor ao viver perto de um corpo d'água. Pelos próximos 15 minutos, a taxa de queda do humor diminui em 70% e os efeitos de melhoria do humor aumentam em 125%. (Durante este período, é possível alcançar um estado de euforia.)",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_298.png,Likes scorching heat,Gosta de calor escaldante,"A special physiological response to scorching heat that gives [20,40] Mood. For the next 15 minutes, the rate of mood decline decreases by [30,50]%, and mood-improvement effects increase by [75,100]%.","Uma resposta fisiológica especial ao calor escaldante que dá 40 de Humor. Pelos próximos 15 minutos, a taxa de queda do humor diminui em [20,40] e os efeitos de melhoria do humor aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_310.png,Likes defecation,Gosta de defecar,"Likes defecating and gains [20,40] Mood when doing so. For the next 15 minutes, the rate of mood decline decreases by [30,50]%, and mood-improvement effects increase by [75,100]%.","Gosta de defecar e ganhar 40 pontos de Humor ao fazê-lo. Por 15 minutos, a taxa de queda de Humor é reduzida em [20,40] e os pontos de Humor adquiridos aumentam em [30,50]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_396.png,Dislikes sauced meat,Não gosta de carne ao molho,"Eating sauced meat lowers 6 Mood. For the next 5 minutes, the rate of mood decline increases by 100%, and mood-improving effects decrease by 60%. (In the duration, enters a state of melancholy)","Comer carne ao molho diminui 6 de Humor. Pelos próximos 5 minutos, a taxa de queda do humor aumenta em 100% e os efeitos de melhoria do humor diminuem em 60%. (Neste período, entra em um estado de melancolia.)",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_405.png,Aversion to Sunny Days,Aversão a dias ensolarados,"Feels aversion to sunlight and Mood drops by [2,4] in sunny days. For the next 5 minutes, the rate of mood decline increases by [50,75]% and mood-improvement effects decrease by [20,40]%.","O tempo ensolarado causa desconforto, diminuindo 2 de Humor em dias ensolarados. Pelos próximos 5 minutos, a taxa de queda do humor aumenta em [2,4], e os efeitos de melhoria do humor diminuem em [50,75]%.",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_408.png,Dislikes rain,Não gosta de dias chuvosos,"Get irritated in rainy days and Mood drops by 6 when it rains. For the next 5 minutes, the rate of mood decline increases by 100% and mood-improvement effects decrease by 60%. (In the duration, enters a state of melancholy)","O tempo chuvoso causa irritação, diminuindo 6 pontos de Humor em dias chuvosos. Pelos próximos 5 minutos, a taxa de queda do humor aumenta em 100%, e os efeitos de melhoria do humor diminuem em 60%. (Neste período, entra em um estado de melancolia.)",,Nenhum,Preferences,Preferências
https://raw.githubusercontent.com/fantasfor/soulmasktalents/main/imgs/thumb_414.png,Dislikes baths,Não gosta de banhos,"Dislikes the feeling of being soaked by water and loses 6 Mood when having a bath. For the next 5 minutes, the rate of mood decline increases by 100% and mood-improvement effects decrease by 60%. (In the duration, enters a state of melancholy)","Odeia a sensação de estar molhado. Perde 6 pontos de Humor ao tomar banho. Por 5 minutos, a taxa de queda de Humor é aumentada em 100% e os pontos de Humor adquiridos reduzem em 60%. (Neste período, entra em um estado de melancolia.)",,Nenhum,Preferences,Preferências
