Portugues,Ingles,CONFORTO,ACUMULO,Unnamed: 4,PT BR,Unnamed: 6,Unnamed: 7
Lanterna Vermelha,Red Lantern,50,4,,,,
Lareira  ,Fireplace,100,2,,,,
Lareira de Pedra Negra,Blackstone Fireplace,150,2,,,,
Luzes Festivas,Holiday String Lights,50,4,,,,
Mesa de Jantar,Dining Table,50,3,,,,
Mesa de Presente - Festiva da Primavera,Holiday Gift Table - Spring,250,2,,,,
Mesa de Resfriamento,Cooling Table,100,2,,,,
Mesa de Decoração de Máscara,Mask Decor Table,100,1,,,,
Mesa Festiva,Holiday Table,100,2,,,,
Mesa Festiva - Festival da Primavera,Holiday Table - Spring,100,2,,,,
Milho Dourado,Golden Corn,200,2,,,,
Planta Decorativa - Caverna,Decorative Greenery - Cavern,50,4,,,,
Planta Decorativa - Colina,Decorative Greenery - Hills,50,4,,,,
Planta Decorativa - Montanha Nevada,Decorative Greenery - Snow Mountain,50,4,,,,
Planta Decorativa - Pântano,Decorative Greenery - Wetland,50,4,,,,
Planta Decorativa - Pradarias,Decorative Greenery - Meadow,50,4,,,,
Planta Decorativa - Tropical,Decorative Greenery - Rainforest,50,4,,,,
Planta Decorativa - Vale,Decorative Greenery - River Valley,50,4,,,,
Planta Decorativa - Vulcão,Decorative Greenery - Volcano,50,4,,,,
Poltrona,Armchair,40,1,,,,
Cabeça de Fera Dente-de-sabre da Destruição,Saber-toothed Predator of Doom Head,1400,1,,,,
Cabeça de Mamute da Destruição,Mammoth of Doom Head,1700,1,,,,
Cabeça de Mamute Berserker,Berserk Mammoth Head,1500,1,,,,
Cabeça de Mamute Titã,Titan Mammoth Head,1300,1,,,,
Rena Decorativa,Holiday Decorative Deer,250,2,,,,
Sanitário,Outhouse,200,1,,,,
Tapete de Palha,Grass Mat,20,5,,,,
Tapete de Pele de Fera,Beast Hide Rug,40,5,,,,
Tapete de Tecido,Textile Rug,60,5,,,,
Tocha de Parede,Wall Torch,30,5,,,,
Tocha Vertical,Standing Torch,40,5,,,,
Totem da Tribo Garra,Claw Tribe Totem Pole,500,1,,,,
Totem da Tribo Perderneira,Flint Tribe Totem Pole,500,1,,,,
Totem da Tribo Presa,Fang Tribe Totem Pole,500,1,,,,
